stop_names,stop_order,bus_no
Kogilu Cross-Towards(Devanahalli),30,8C
Venkatala-Towards(Devanahalli),31,8C
Indian Air Force-Towards(Devanahalli),32,8C
Hunasamaranahalli-Towards(Devanahalli),33,8C
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),34,8C
Chikkajala-Towards(Devanahalli),35,8C
Sadahalli Gate-Towards(Devanahalli),36,8C
Trumpet-Towards(Kempegowda International Airport),37,8C
Kempegowda International Airport-Towards(Last Bus Stop ),38,8C
Doddakannalli-Towards(KR Market),0,8D
Kaikondrahalli-Towards(Bellanduru Gate (SJP Road)),1,8D
Bellanduru Gate SJP Road -Towards(Lakkasandra),2,8D
Jn of Sarjapura Ring Road -Towards(Marathahalli Bridge),3,8D
Kadabisanahalli-Towards(Hebbala),4,8D
Marathahalli Bridge-Towards(Hebbala),5,8D
Dodda Nekkundi (Towards Hebbala)-Towards(Hebbala),6,8D
Mahadevapura Ring Road-Towards(Hebbala),7,8D
Railway Station KR Puram-Towards(Tin Factory),8,8D
Kasthuri Nagara Ring Road-Towards(Hebbala),9,8D
Ramamurthy Nagara Ring Road-Towards(Hebbala),10,8D
Babusabpalya (Towards Hebbala)-Towards(Hebbala),11,8D
Kalyananagara-Towards(Hebbala),12,8D
Jn of Nagawara-Towards(Hebbala),13,8D
Veeranapalya-Towards(Hebbala),14,8D
Hebbala Bridge (Towards Bhadrappa Layout)-Towards(Bhadrappa Layout),15,8D
Military Dairy Farm-Towards(Yalahanka),16,8D
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),17,8D
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),18,8D
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),19,8D
Kogilu Cross-Towards(Devanahalli),20,8D
Venkatala-Towards(Devanahalli),21,8D
Indian Air Force-Towards(Devanahalli),22,8D
Hunasamaranahalli-Towards(Devanahalli),23,8D
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),24,8D
Chikkajala-Towards(Devanahalli),25,8D
Sadahalli Gate-Towards(Devanahalli),26,8D
Trumpet-Towards(Kempegowda International Airport),27,8D
Kempegowda International Airport-Towards(Last Bus Stop ),28,8D
ELC Wipro Main  Gate-Towards(ELC Wipro Gate),0,8E
Electronic City (Towards Central Silk Board)-Towards(Central Central Silk Board),1,8E
Konappana Agarhara-Towards(Madivala),2,8E
Hosa Road (Towards Singsandra)-Towards(Singsandra),3,8E
Singasandra-Towards(Bommanahalli),4,8E
Kudlu Gate-Towards(Madivala),5,8E
Bommanahalli (Towards St Johns)-Towards(St Johns),6,8E
SI Apartment HSR Layout-Towards(Hebbala),7,8E
Depot-25 Gate (Towards Hebbala)-Towards(Hebbala),8,8E
Agara Junction-Towards(Banashankari),9,8E
Jn of Sarjapura Ring Road -Towards(Marathahalli Bridge),10,8E
Bellanduru-Towards(Marathahalli Bridge),11,8E
Kadabisanahalli-Towards(Hebbala),12,8E
Marathahalli Bridge-Towards(Hebbala),13,8E
Dodda Nekkundi (Towards Hebbala)-Towards(Hebbala),14,8E
Mahadevapura Ring Road-Towards(Hebbala),15,8E
Railway Station KR Puram-Towards(Tin Factory),16,8E
Kasthuri Nagara Ring Road-Towards(Hebbala),17,8E
Ramamurthy Nagara Ring Road-Towards(Hebbala),18,8E
Babusabpalya (Towards Hebbala)-Towards(Hebbala),19,8E
Kalyananagara-Towards(Hebbala),20,8E
Hennur Cross (Towards HBR Layout 5th Block)-Towards(HBR Layout 5th Block),21,8E
Geddalahalli (Towards Byrathi Bande)-Towards(Byrathi Bande),22,8E
Kothanuru -Towards(Byrathi Bande),23,8E
Byrathi Bande-Towards(Kannuru ),24,8E
Kannuru-Towards(Mittaganahalli),25,8E
Hosuru Bande-Towards(Mittaganahalli),26,8E
Chakkalatti-Towards(Bagaluru),27,8E
Bagalur (Towards Hoovinayakanahalli)-Towards(Hoovinayakanahalli),28,8E
KIADB Hoovinayakanahalli Gate -Towards(Bande Kodigehalli),29,8E
Bande Kodigehallipalya-Towards(Mylanahalli),30,8E
Mylanahalli-Towards(Muthugadahalli),31,8E
Beguru (Towards Yalahanka)-Towards(Yalahanka),32,8E
Kempegowda International Airport-Towards(Last Bus Stop ),33,8E
ELC Wipro Main  Gate-Towards(ELC Wipro Gate),0,8EW
Infosys Parking Lot-Towards(Electronic City),1,8EW
Electronic City (Towards Madivala)-Towards(Madivala),2,8EW
Konappana Agarhara-Towards(Madivala),3,8EW
Hosa Road (Towards Singsandra)-Towards(Singsandra),4,8EW
Singasandra-Towards(Bommanahalli),5,8EW
Kudlu Gate-Towards(Madivala),6,8EW
Bommanahalli (Towards St Johns)-Towards(St Johns),7,8EW
SI Apartment HSR Layout-Towards(Hebbala),8,8EW
Depot-25 Gate (Towards Hebbala)-Towards(Hebbala),9,8EW
Agara Junction-Towards(Banashankari),10,8EW
Jn of Sarjapura Ring Road -Towards(Marathahalli Bridge),11,8EW
Bellanduru-Towards(Marathahalli Bridge),12,8EW
Kadabisanahalli-Towards(Hebbala),13,8EW
Marathahalli Bridge-Towards(Hebbala),14,8EW
Dodda Nekkundi (Towards Hebbala)-Towards(Hebbala),15,8EW
Mahadevapura Ring Road-Towards(Hebbala),16,8EW
Railway Station KR Puram-Towards(Tin Factory),17,8EW
Kasthuri Nagara Ring Road-Towards(Hebbala),18,8EW
Ramamurthy Nagara Ring Road-Towards(Hebbala),19,8EW
Babusabpalya (Towards Hebbala)-Towards(Hebbala),20,8EW
Kalyananagara-Towards(Hebbala),21,8EW
Jn of Nagawara-Towards(Hebbala),22,8EW
Veeranapalya-Towards(Hebbala),23,8EW
Hebbala Bridge (Towards Bhadrappa Layout)-Towards(Bhadrappa Layout),24,8EW
Military Dairy Farm-Towards(Yalahanka),25,8EW
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),26,8EW
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),27,8EW
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),28,8EW
Kogilu Cross-Towards(Devanahalli),29,8EW
Venkatala-Towards(Devanahalli),30,8EW
Indian Air Force-Towards(Devanahalli),31,8EW
Hunasamaranahalli-Towards(Devanahalli),32,8EW
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),33,8EW
Chikkajala-Towards(Devanahalli),34,8EW
Sadahalli Gate-Towards(Devanahalli),35,8EW
Trumpet-Towards(Kempegowda International Airport),36,8EW
Kempegowda International Airport-Towards(Last Bus Stop ),37,8EW
