stop_names,stop_order,bus_no
Hunasamaranahalli-Towards(Devanahalli),19,14
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),20,14
Chikkajala-Towards(Devanahalli),21,14
Sadahalli Gate-Towards(Devanahalli),22,14
Trumpet-Towards(Kempegowda International Airport),23,14
Kempegowda International Airport-Towards(Last Bus Stop ),24,14
White Field TTMC (Vydehi Hospital)-Towards(Departure),0,15
Sathya Sai Hospital-Towards(ITPL),1,15
ITPL-Towards(Hope Farm),2,15
Hope Farm (Towards Hoskote)-Towards(Hoskote),3,15
Kadugodi Bridge-Towards(Hoskote),4,15
Bellathur-Towards(Hoskote),5,15
Seegehalli Gate-Towards(Hoskote),6,15
Khaji Sonnenahalli Gate-Towards(Hoskote),7,15
Budigere Cross (Towards Budigere)-Towards(Budigere),8,15
Grandwell-Towards(Budigere),9,15
Mandur-Towards(Budigere),10,15
Thirumenahalli Gate-Towards(Budigere),11,15
Budigere (Towards Devanahalli)-Towards(Devanahalli),12,15
Manchappanahalli Gate-Towards(Devanahalli),13,15
Singahalli-Towards(Hunasuru),14,15
Hunasuru-Towards(Mylanahalli),15,15
Kadayarappanahalli-Towards(Kadayarappanahalli),16,15
Chikkanahalli (Towards Beguru)-Towards(Beguru),17,15
Beguru (Towards Yalahanka)-Towards(Yalahanka),18,15
Kempegowda International Airport-Towards(Last Bus Stop ),19,15
HAL Main Gate (Towards Marathahalli Bridge)-Towards(Marathahalli Bridge),0,4
Jeevanbheema Nagara Cross-Towards(Jeevan Bheema Nagara),1,4
Thippasandra-Towards(Halasuru),2,4
Police Station Indiranagara-Towards(Halasuru),3,4
Halasuru-Towards(Kempegowda Bus Station),4,4
MEG Centre-Towards(Shivaji Nagara),5,4
Coles Park (Towards Thomas Cafe)-Towards(Thomas Cafe),6,4
Millers Road-Towards(Nandidurga Road),7,4
JC Nagara-Towards(Mekhri Circle),8,4
Mekhri Circle-Towards(Hebbala),9,4
Hebbala (Towards Yalahanka)-Towards(Yalahanka),10,4
Military Dairy Farm-Towards(Yalahanka),11,4
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),12,4
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),13,4
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),14,4
Kogilu Cross-Towards(Devanahalli),15,4
Venkatala-Towards(Devanahalli),16,4
Indian Air Force-Towards(Devanahalli),17,4
Hunasamaranahalli-Towards(Devanahalli),18,4
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),19,4
Chikkajala-Towards(Devanahalli),20,4
Sadahalli Gate-Towards(Devanahalli),21,4
Trumpet-Towards(Kempegowda International Airport),22,4
Kempegowda International Airport-Towards(Last Bus Stop ),23,4
White Field TTMC (Vydehi Hospital)-Towards(Departure),0,4A
Graphite India (Towards Kundalahalli Colony)-Towards(Kundalahalli Colony),1,4A
AECS Layout Cross-Towards(Kundalahalli Gate),2,4A
Kundalahalli Gate-Towards(Marathahalli Bridge),3,4A
Marathahalli Bridge-Towards(Kempegowda Bus Station),4,4A
Marathahalli-Towards(Domlur),5,4A
HAL Kalyana Mantap-Towards(Kempegowda Bus Station),6,4A
HAL Main Gate (Towards NGEF)-Towards(NGEF),7,4A
Jeevanbheema Nagara Cross-Towards(Jeevan Bheema Nagara),8,4A
Thippasandra-Towards(Halasuru),9,4A
Police Station Indiranagara-Towards(Halasuru),10,4A
Halasuru-Towards(Kempegowda Bus Station),11,4A
MEG Centre-Towards(Shivaji Nagara),12,4A
Coles Park (Towards Thomas Cafe)-Towards(Thomas Cafe),13,4A
Millers Road-Towards(Nandidurga Road),14,4A
JC Nagara-Towards(Mekhri Circle),15,4A
Mekhri Circle-Towards(Hebbala),16,4A
Hebbala (Towards Yalahanka)-Towards(Yalahanka),17,4A
Military Dairy Farm-Towards(Yalahanka),18,4A
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),19,4A
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),20,4A
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),21,4A
Kogilu Cross-Towards(Devanahalli),22,4A
Venkatala-Towards(Devanahalli),23,4A
Indian Air Force-Towards(Devanahalli),24,4A
Hunasamaranahalli-Towards(Devanahalli),25,4A
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),26,4A
Chikkajala-Towards(Devanahalli),27,4A
Sadahalli Gate-Towards(Devanahalli),28,4A
Trumpet-Towards(Kempegowda International Airport),29,4A
Kempegowda International Airport-Towards(Last Bus Stop ),30,4A
Banashankari TTMC-Towards(Departure),0,5
JP Nagara 6th Phase-Towards(JP Nagara 15th Cross),1,5
RV Dental College-Towards(Jayanagara TTMC),2,5
5th Block Jayanagara (Towards Jayanagara)-Towards(Jayanagara),3,5
Jayanagara TTMC-Towards(Departure),4,5
Ashoka Pillar-Towards(Wilson Garden),5,5
Wilson Garden Police Station-Towards(Shanthi Nagara),6,5
Shanthinagara TTMC-Towards(KH Road),7,5
Richmond Circle-Towards(HAL),8,5
SOPHIYA School-Towards(Guttahalli),9,5
RM Guttahalli-Towards(Mekhri Circle),10,5
Mekhri Circle-Towards(Hebbala),11,5
Hebbala (Towards Yalahanka)-Towards(Yalahanka),12,5
Military Dairy Farm-Towards(Yalahanka),13,5
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),14,5
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),15,5
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),16,5
Kogilu Cross-Towards(Devanahalli),17,5
Venkatala-Towards(Devanahalli),18,5
Indian Air Force-Towards(Devanahalli),19,5
Hunasamaranahalli-Towards(Devanahalli),20,5
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),21,5
Chikkajala-Towards(Devanahalli),22,5
Sadahalli Gate-Towards(Devanahalli),23,5
Trumpet-Towards(Kempegowda International Airport),24,5
Kempegowda International Airport-Towards(Last Bus Stop ),25,5
Jambu Savari Dinne-Towards(Kothanuru Dinne),0,5A
Surabhi Layout-Towards(Kothanuru Dinne),1,5A
BK Circle (Towards Kothanuru Dinne Water Tank)-Towards(Kothanuru Dinne Water Tank),2,5A
Water Tank Kothanur Dinne-Towards(Puttenahalli),3,5A
Kothanuru Dinne Ganesha Temple-Towards(Puttenahalli),4,5A
Navodaya Nagara-Towards(JP Nagara 15th Cross),5,5A
Gowrava Nagara-Towards(JP Nagara 15th Cross),6,5A
RBI Layout-Towards(JP Nagara 1st Phasse),7,5A
Brigade Millenium-Towards(JP Nagara 15th Cross),8,5A
Puttenahallipalya-Towards(JP Nagara),9,5A
Puttenahalli-Towards(JP Nagara 1 Phase),10,5A
Oxford Dental College-Towards(Oxford College),11,5A
JP Nagara 15th Cross-Towards(RV Dental College),12,5A
RV Dental College-Towards(Jayanagara TTMC),13,5A
5th Block Jayanagara (Towards Jayanagara)-Towards(Jayanagara),14,5A
Jayanagara TTMC-Towards(Departure),15,5A
Ashoka Pillar-Towards(Wilson Garden),16,5A
Wilson Garden Police Station-Towards(Shanthi Nagara),17,5A
Shanthinagara TTMC-Towards(KH Road),18,5A
Richmond Circle-Towards(HAL),19,5A
SOPHIYA School-Towards(Guttahalli),20,5A
RM Guttahalli-Towards(Mekhri Circle),21,5A
Mekhri Circle-Towards(Hebbala),22,5A
Hebbala (Towards Yalahanka)-Towards(Yalahanka),23,5A
Military Dairy Farm-Towards(Yalahanka),24,5A
